field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
144,방배2호,서울,서초구,서울 서초구 방배동 912-8,정,서울특별시 서초구 방배동 912-8,126.99659463193187,37.481490782627155
147,서초3호,서울,서초구,서울 서초구 서초동 1579-5,정,서울특별시 서초구 서초동 1579-5,127.01348537439597,37.48825687013239
160,보문역,서울,성북구,서울 성북구 보문동2가 40,정,서울특별시 성북구 보문동2가 40,127.01840715230729,37.58657040035752
150,잠원1호,서울,서초구,서울 서초구 잠원동 15-4,정,서울특별시 서초구 잠원동 15-4,127.01736813119268,37.51578570258548
158,동덕여대,서울,성북구,서울 성북구 하월곡동 17-1,정,서울특별시 성북구 하월곡동 17-1,127.0430133093547,37.60367152974736
148,양재1호,서울,서초구,서울 서초구 양재동 327-2,정,서울특별시 서초구 양재동 327-2,127.04069075979606,37.46897306487345
152,성수1호,서울,성동구,서울 성동구 성수동2가 235-1,정,서울특별시 성동구 성수동2가 235-1,127.06071484036666,37.53698195705755
157,한양대,서울,성동구,서울 성동구 행당동 3-29,정,서울특별시 성동구 행당동 3-29,127.04105956743732,37.56049480054236
141,반포1호,서울,서초구,서울 서초구 반포동 1053 H동 26호,정,서울특별시 서초구 반포동 1053,126.98665592818548,37.50091975304737
155,왕십리도선,서울,성동구,서울 성동구 홍익동 131-1,정,서울특별시 성동구 홍익동 131-1,127.03606660455289,37.56485011012109
151,금호역,서울,성동구,서울 성동구 금호동4가 1380,정,서울특별시 성동구 금호동4가 1380,127.01874569390162,37.548183809933114
154,왕십리1호,서울,성동구,서울 성동구 하왕십리동 946-15,정,서울특별시 성동구 하왕십리동 946-15,127.02967592765938,37.56396216287233
153,성수역,서울,성동구,서울 성동구 성수동2가 289-251,정,서울특별시 성동구 성수동2가 289-251,127.0546250203084,37.54611531478098
164,종암,서울,성북구,서울 성북구 종암동 3-544,정,서울특별시 성북구 종암동 3-544,127.03167972650789,37.60288791373822
161,석관장위,서울,성북구,서울 성북구 화랑로 265,정,서울특별시 성북구 화랑로 265 (장위동),127.0581829838293,37.611821934241064
159,동소문,서울,성북구,서울 성북구 동소문동 6가 227 1층,정,서울특별시 성북구 동소문동6가 227,127.01584932516425,37.59475858606521
162,정릉1호,서울,성북구,서울 성북구 정릉4동 285-4,정,서울특별시 성북구 정릉동 285-4,127.00939005436508,37.61058102850258
175,잠실1호,서울,송파구,서울 송파구 잠실본동 313-8,정,서울특별시 송파구 잠실동 313-8,127.0826072304514,37.50563058929325
173,올림픽공원,서울,송파구,서울 송파구 풍납동 401-4,정,서울특별시 송파구 풍납동 401-4,127.11834160123476,37.52733967517
165,가락2호,서울,송파구,서울 송파구 가락동 75-7,정,서울특별시 송파구 가락동 75-7,127.1200318068519,37.49701571576604
167,마천1호,서울,송파구,서울 송파구 거여동 32-6,정,서울특별시 송파구 거여동 32-6,127.14908177496966,37.492693363530464
163,정릉2호,서울,성북구,서울 성북구 정릉동 175-24,정,서울특별시 성북구 정릉동 175-24,127.01529194979517,37.60391912831498
172,송파1호,서울,송파구,서울 송파구 송파동 147,정,서울특별시 송파구 송파동 147,127.11659813894323,37.50716234526842
156,응봉,서울,성동구,서울 성동구 응봉동 100,정,서울특별시 성동구 응봉동 100,127.03327360113776,37.55197489875516
166,거여가락1호,서울,송파구,서울 송파구 가락동 180-9,정,서울특별시 송파구 가락동 180-9,127.1355790737019,37.49251654823357
170,방이역,서울,송파구,서울 송파구 오금동 41-23 성암빌딩 1층,정,서울특별시 송파구 오금동 41-23,127.12858953926516,37.50735744255236
176,잠실2호,서울,송파구,서울 송파구 신천동 11-4,정,서울특별시 송파구 신천동 11-4,127.10361390305661,37.51736233796752
168,문정법조,서울,송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호,정,서울특별시 송파구 문정동 620,127.12123092740487,37.48078535767925
169,방이2호,서울,송파구,서울 송파구 방이동 59-1,정,서울특별시 송파구 방이동 59-1,127.10965818276912,37.51480475467238
179,목3동,서울,양천구,서울 양천구 목동 722-8 호성빌딩,유,서울특별시 양천구 목동 722-1,126.86398760110814,37.539149281459615
177,장지,서울,송파구,서울 송파구 문정동 102-1,정,서울특별시 송파구 문정동 102-1,127.13132366261678,37.485474361248976
182,목동오거리,서울,양천구,서울 양천구 목동 940 현대아이파크상가 102,정,서울특별시 양천구 목동 940,126.86489958245315,37.52898841174676
174,위례송파,서울,송파구,"서울 송파구 장지동 894 위례아이파크 상가1동 103호, 104호",정,서울특별시 송파구 장지동 894 1동,127.14191032883521,37.47727673880518
178,헬리오시티,서울,송파구,"서울 송파구 가락동 479 헬리오시티상가 A동 3,4호",유,서울특별시 송파구 가락동 478,127.10881679293094,37.50025273426492
180,목동1호,서울,양천구,서울 양천구 목동 797-3,정,서울특별시 양천구 목동 797-3,126.8665369029244,37.532634936034306
188,화곡1호,서울,양천구,서울 양천구 신월동 23-17,정,서울특별시 양천구 신월동 23-17,126.83332799658464,37.539984352871755
190,대림2호,서울,영등포구,서울 영등포구 대림3동 783-6,정,서울특별시 영등포구 대림동 783-6,126.89666366895796,37.50158688953431
171,석촌,서울,송파구,서울 송파구 석촌동 163-1,정,서울특별시 송파구 석촌동 163-1,127.10355487760953,37.506738021343835
187,오목교,서울,양천구,서울 양천구 신정동 1296 아이파크 상가 1층,정,서울특별시 양천구 신정동 1296,126.87200728877458,37.5218933856844
181,목동2호,서울,양천구,서울 양천구 목동 909-8 이화프라자 1층 101호,정,서울특별시 양천구 목동 909-8,126.88361308192628,37.53688900345689
191,문래,서울,영등포구,서울 영등포구 문래동3가 77-34,정,서울특별시 영등포구 문래동3가 77-34,126.88957820884619,37.51942937778824
185,신정1호,서울,양천구,서울 양천구 신정동 1022-5,정,서울특별시 양천구 신정동 1022-5,126.85906654281776,37.519683717128565
183,신월1호,서울,양천구,서울 양천구 신월동 602-8,정,서울특별시 양천구 신월동 602-8,126.8448754303153,37.520056268453246
184,신월2호,서울,양천구,서울 양천구 신월7동 972-6,정,서울특별시 양천구 신월동 972-6,126.83493500319776,37.52051868157521
192,선유도역,서울,영등포구,서울 영등포구 양평동4가 147-3,정,서울특별시 영등포구 양평동4가 147-3,126.8956223303907,37.53722001738604
189,당산,서울,영등포구,서울 영등포구 영등포동8가 35-1,정,서울특별시 영등포구 영등포동8가 35-1,126.90503604014319,37.52673770090084
203,용문,서울,용산구,서울 용산구 용문동 28-26,정,서울특별시 용산구 용문동 28-26,126.9599852079258,37.53780251207926
205,후암,서울,용산구,서울 용산구 후암동 244-59,정,서울특별시 용산구 후암동 244-59,126.97799049150044,37.54851513848143
197,영등포1호,서울,영등포구,서울 영등포구 신길동 232-42,정,서울특별시 영등포구 신길동 232-42,126.91073481884922,37.50702854302563
193,신길1호,서울,영등포구,서울 영등포구 신길동 296-14,정,서울특별시 영등포구 신길동 296-14,126.90407285162712,37.50768067848509
194,신길2호,서울,영등포구,서울 영등포구 신길7동 674,정,서울특별시 영등포구 신길동 674,126.92117983673259,37.50294562591502
